p0,L0,popt,Lopt
0.01,2600.0043307333563,7.29929678859019,2347.311629248959
0.010115794542598982,2610.9562858892473,NaN,NaN
0.01023292992280754,2595.1191431780885,NaN,NaN
0.010351421666793436,2602.3705544880218,NaN,NaN
0.010471285480508996,2594.0859561776456,NaN,NaN
0.010592537251772886,2554.313620159591,1.0002064674827673,101.18289637638979
0.010715193052376065,2553.337689160338,NaN,NaN
0.010839269140212033,2582.7640455391174,NaN,NaN
0.01096478196143185,2582.7385139713124,NaN,NaN
0.01109174815262401,2556.4868660713023,NaN,NaN
0.011220184543019636,2598.4169070005432,15.894096670739623,1639.185638369724
0.01135010815672315,2644.5710468489656,NaN,NaN
0.011481536214968828,2613.7823512213818,NaN,NaN
0.011614486138403426,2553.8703286096106,NaN,NaN
0.011748975549395297,2574.048920752005,NaN,NaN
0.011885022274370183,2616.536582810991,15.894096831456977,1639.1856384039102
0.01202264434617413,2581.935880307511,NaN,NaN
0.012161860006463679,2524.09668805918,NaN,NaN
0.012302687708123818,2531.9360678086096,NaN,NaN
0.01244514611771385,2571.286961303672,NaN,NaN
0.012589254117941675,2551.3392220454043,1.0002067385222173,101.18289757453654
0.012735030810166616,2525.7181010873555,NaN,NaN
0.012882495516931342,2560.060570757101,NaN,NaN
0.013031667784522994,2627.3212825571195,NaN,NaN
0.013182567385564075,2626.8051322528163,NaN,NaN
0.01333521432163324,2583.40923647532,15.894096561457655,1639.1856383447514
0.013489628825916533,2552.5501496304373,NaN,NaN
0.013645831365889247,2558.2173683970746,NaN,NaN
0.013803842646028845,2557.501664596402,NaN,NaN
0.013963683610559377,2574.701753976393,NaN,NaN
0.01412537544622754,2619.3646646253014,1.0002487879165427,101.18327623585294
0.01428893958511103,2664.013200562366,NaN,NaN
0.014454397707459272,2646.6118876031105,NaN,NaN
0.014621771744567183,2594.426965166708,NaN,NaN
0.014791083881682071,2570.422984001141,NaN,NaN
0.014962356560944336,2588.777734110165,15.894095668685761,1639.185638219601
0.01513561248436208,2601.4236673995756,NaN,NaN
0.015310874616820304,2575.393829695677,NaN,NaN
0.01548816618912481,2553.4368630678255,NaN,NaN
0.015667510701081494,2555.457218816389,NaN,NaN
0.015848931924611134,2582.3261370620885,7.301672618093657,2347.31198049371
0.016032453906900418,2582.639042932867,NaN,NaN
0.0162181009735893,2574.9345411727268,NaN,NaN
0.016405897731995397,2562.061864595656,NaN,NaN
0.016595869074375606,2569.9614386552753,NaN,NaN
0.016788040181225608,2574.961164907027,7.302392081355584,2347.312161770632
0.016982436524617443,2575.486274282065,NaN,NaN
0.017179083871575886,2573.904006031986,NaN,NaN
0.017378008287493755,2567.425939856461,NaN,NaN
0.01757923613958693,2571.504106886184,NaN,NaN
0.01778279410038923,2570.435370738463,15.89409540389354,1639.1856382002386
0.017988709151287873,2584.6482502558742,NaN,NaN
0.018197008586099836,2587.2153229712785,NaN,NaN
0.018407720014689554,2580.8606747497815,NaN,NaN
0.018620871366628676,2566.6676327970563,NaN,NaN
0.018836490894898,2557.5769329932577,15.894096449412178,1639.1856383277077
0.019054607179632473,2575.226766053141,NaN,NaN
0.019275249131909356,2585.694952906807,NaN,NaN
0.019498445997580455,2591.6146466157797,NaN,NaN
0.019724227361148535,2584.0185771830847,NaN,NaN
0.0199526231496888,2586.8875824731463,7.3064525574458115,2347.3138681413566
0.020183663636815608,2607.963118706231,NaN,NaN
0.020417379446695295,2605.4742191413757,NaN,NaN
0.02065380155810529,2578.08020701398,NaN,NaN
0.020892961308540396,2524.602592463134,NaN,NaN
0.021134890398366465,2493.1311673284326,1.7361098832553077,2302.6550869909493
0.021379620895022326,2509.9710659220787,NaN,NaN
0.0216271852372702,2537.236997676564,NaN,NaN
0.02187761623949553,2557.0668785798366,NaN,NaN
0.022130947096056376,2544.728399333067,NaN,NaN
0.0223872113856834,2528.6387733590805,14.998285429542344,2168.754078155848
